DOI,SBET/Specific surface area/m2g-1,Average pore size/nm,Total pore volume/cm3g-1,ID,IG,ID/IG,2¦È/¡ã,d002/nm,La/nm,Lc/nm,La/Lc,first discharge/mAh g-1,first charge/mAh g-1,ICE/%,Retention rate of 100 capacity cycles/%, capacity/mAh/g,Rsei/¦¸,Re/,Rf/,Rs/¦¸,Rct /¦¸,i0/mAcm-2,DLi+/cm2s-1
,38.7,16.1,0.156,661.0483278,1374.905822,0.458719907,39.19597946,2.614822568,35.1663819,33.95814874,1.293569414,669.3941811,791.8,84.540816,82.2,365.0379291,2.2,25.57428571,44.58333333,8.9,4.1,0.818469909,1.04E-06
,37.8,8.3,0.078,661.0483278,1374.905822,0.439363233,39.19597946,1.606769121,38.13689996,38.89450274,1.23535412,661.3974921,786.9,84.051022,94,531.6608786,2.2,25.57428571,44.58333333,4.1,3.5,0.818469909,1.04E-06
https://doi.org/10.1016/j.est.2024.110489,21.275775,9.962841176,2.378429412,661.0483278,1374.905822,1.16,20.94239968,3.507,4.1655,0.7132,5.84,315.8961093,364.10256,86.7602,12.57522,844.4246743,13.72665814,25.57428571,44.58333333,17.59508605,152.8299265,0.818469909,4.86E-10
,25.74244167,10.44085144,2.214415456,661.0483278,1374.905822,1.26,20.94239968,3.52,4.4857,0.9105,4.93,312.1112549,371.53846,84.0051,22.35238,1116.928227,12.9872174,25.57428571,44.58333333,17.59508605,154.8463383,0.818469909,4.01E-10
,28.81744167,10.88639172,1.985851659,661.0483278,1374.905822,1.11,5.618800567,3.509,5.8253,1.0466,5.96,300.5703771,364.10256,82.55102,26.13517,1116.928227,12.9872174,25.57428571,44.58333333,19.03599145,163.6655921,0.818469909,5.43E-10
,31.900775,11.36108143,1.838940972,661.0483278,1374.905822,0.99,8.618833133,3.482,6.2382,3.8798,1.5,304.4383034,366.41026,83.08673,24.14289,1062.84582,12.9872174,25.57428571,44.58333333,17.74801366,140.6715925,0.818469909,6.20E-10
,35.12160833,12.0170274,1.664761029,661.0483278,1374.905822,0.93,25.02187191,3.469,7.0728,5.639,1.25,333.3275875,372.05128,89.59184,16.01074,1062.84582,13.72665814,25.57428571,44.58333333,23.69914373,148.5752752,0.818469909,3.96E-10
,36.438275,12.57097019,1.468570502,661.0483278,1374.905822,1.25,20.94239968,3.619,3.8931,0.8561,4.55,316.1347347,370.25641,85.38265,19.15439,1116.928227,13.72665814,25.57428571,44.58333333,20.36946426,170.9175326,0.818469909,2.91E-10
,36.12792292,13.15161549,1.219662884,661.0483278,1374.905822,1.2,20.94239968,3.5,4.9966,2.005,2.49,320.384618,376.92308,85,20.67126,1062.84582,13.72665814,25.57428571,44.58333333,20.76376658,154.5586195,0.818469909,4.33E-10
,35.52312639,13.73112229,0.844348936,661.0483278,1374.905822,1.08,-4.175440287,3.468,6.3979,2.9314,2.3,287.9395695,361.53846,79.64286,19.99513,1062.84582,9.453784867,25.57428571,44.58333333,11.98073297,119.1445085,0.818469909,6.16E-10
,34.98291319,14.39471771,0.885192991,661.0483278,1374.905822,1.08,-4.175440287,3.468,6.7521,4.5482,1.41,297.3258956,368.71795,80.63776,16.76015,1062.84582,12.9872174,25.57428571,44.58333333,8.964980047,118.0672325,0.818469909,5.92E-10
,35.78173611,14.36036581,0.93234552,661.0483278,1374.905822,1.05,8.618833133,3.459,9.289,6.6161,1.4,311.7609965,373.84615,83.39286,11.18597,1062.84582,12.9872174,25.57428571,44.58333333,8.964980047,118.0672325,0.818469909,4.66E-10
https://doi.org/10.1016/j.carbon.2024.119781,28.9441,17.2951,0.1251,1350,1580,0.96,-5.977411867,3.5,89.25907413,33.96801131,1.070708241,152.6,200,76.3,42.61176724,1063.275219,9.453784867,25.57428571,44.58333333,7.520692717,225.0864463,0.818469909,1.04E-06
,14.1306,15.0144,0.053,661.0483278,1374.905822,0.95,10.71865925,2.733268394,96.56686291,30.87619607,1.397366707,110.0616,151.6,72.6,81.70593499,245.0341499,9.36,25.57428571,44.58333333,0.313918764,29.87,0.818469909,1.04E-06
,10.9683,14.8748,0.0408,661.0483278,1374.905822,0.84,10.71865925,1.53165526,96.56686291,30.87619607,1.397366707,106.12,140,75.8,79.86924836,245.0341499,9.96,25.57428571,44.58333333,2.274473741,33.48,0.818469909,1.04E-06
,13.01929864,8.456776384,-0.131724365,1350,1580,0.182,26.28,0.917232977,-0.654383641,5.753013114,-1.141633927,1013.9,462.1,45.6,86.82078136,556.2927183,46.50899019,0.424147673,131.3,7.06E-07,78.90236468,0.818469909,1.04E-06
,38.4,19.1,0.08,661.0483278,1374.905822,0.717584725,-5.977411867,1.825801591,82.84722701,28.87332519,2.27125719,485,278,57.3,68.63417376,1091.137343,9.453784867,9.946308161,140.9378315,1.99E-06,143.3,0.818469909,3.68E-13
,4.774303687,5.310093059,-0.394580874,661.0483278,1374.905822,0.32,41.70058171,0.890239605,2.573071296,5.956629529,-0.634040435,346.1,373.4,92.7,82.62721164,623.8751747,24.92376489,4.517639167,13.3,2.54E-09,-64.59785558,0.818469909,1.04E-06
,4.774303687,5.310093059,-0.394580874,661.0483278,1374.905822,0.34,39.3496102,0.890239605,2.573071296,5.956629529,-0.634040435,353.5,382.7,92.2,82.62721164,623.8751747,24.92376489,4.517639167,12.9,3.69E-07,182.5454078,0.818469909,1.04E-06
,20.96845839,8.663893199,-0.111304472,661.0483278,1374.905822,0.35,39.3496102,1.119379367,71.77143439,35.60574295,3.212523225,909.9819856,1237.681243,98.20628565,74.45361889,364.9592128,16.78207978,6.718756842,11,1.95E-07,10.6,0.818469909,1.04E-06
,7.9574,14.9479,0.0294,661.0483278,1374.905822,0.73,10.71865925,0.089070634,87.85763802,24.38941001,1.397366707,104.65,130,80.5,82.29775984,-4.621018846,5.94,25.57428571,44.58333333,0.141685106,35.23,0.818469909,1.04E-06
https://doi.org/10.1016/j.materresbull.2024.113082,24.78,22.31,0.0196,661.0483278,1374.905822,0.24,-3.626440358,3.371077819,84.49628827,31.29940669,3.18138008,625.6,456.5,73,89.1,543.9289347,23.76526964,25.57428571,44.58333333,3.067179278,172.187739,0.818469909,1.54E-12
,24.93,28.13,0.0186,661.0483278,1374.905822,0.3,-3.626440358,3.519514988,71.47811662,31.29940669,3.18138008,1230.7,976.3,79.3,70.1,951.848545,23.76526964,25.57428571,44.58333333,7.180266711,46.97708744,0.818469909,2.73E-11
,23.92,20.28,0.0154,661.0483278,1374.905822,0.51,6.816861554,1.88857796,71.47811662,30.8663335,2.917059267,1852.5,1543.5,83,64.2,883.6393202,12.9872174,25.57428571,44.58333333,4.335188835,-32.06700909,0.818469909,1.15E-11
,26.88,26.76,0.0176,661.0483278,1374.905822,0.56,19.1404281,2.336467086,40.74117581,30.28542311,2.453178834,2466,2073,84.1,55.7,829.5569123,12.9872174,25.57428571,44.58333333,6.170396559,9.114743378,0.818469909,1.72E-11
,20.77,20.72,0.0162,661.0483278,1374.905822,0.77,19.1404281,2.155590912,-26.78594968,0.982789719,2.453178834,2982.7,2552,85.6,19.2,581.6739172,13.72665814,25.57428571,44.58333333,1.769080328,73.05165125,0.818469909,3.61E-11
https://doi.org/10.1016/j.seppur.2024.129329,9.261398108,5.381393747,0.408270632,1350,1580,0.21,26.48,0.345578317,79.33361628,34.57665669,-0.049726394,381.5,159.4,41.8,96.68882044,288.4999587,48.85432969,25.57428571,44.58333333,0.248124986,324.3,0.818469909,1.04E-06
,11.06557372,7.020001614,0.527338948,1350,1580,0.352,26.44,0.419415577,79.33361628,34.57665669,-0.170160002,406,167.6,41.3,96.68882044,242.1892832,53.94471379,25.57428571,44.58333333,1.295267102,255.1,0.818469909,1.04E-06
,14.75146223,8.23142415,0.520703509,1350,1580,0.259,26.32,0.731392337,71.24917155,34.57665669,-0.170160002,506.5,213.7,42.2,86.82054223,305.3731029,53.94471379,25.57428571,44.58333333,0.509441308,182.2,0.818469909,1.04E-06
,13.01929864,8.456776384,-0.131724365,1350,1580,0.182,26.28,0.917232977,-0.654383641,5.753013114,-1.141633927,1013.9,462.1,45.6,86.82078136,556.2927183,46.50899019,25.57428571,44.58333333,0.424147673,131.3,0.818469909,1.04E-06
https://doi.org/10.1016/j.est.2023.109783,97.68381859,11.05174365,1.82,661.0483278,1374.905822,0.57,-4.175440287,1.366158297,151.1833995,33.12388711,3.943278946,746.5671422,993.5554613,77.56682101,67.9440302,1061.410378,9.453784867,25.57428571,44.58333333,16.46587046,85.95567991,0.818469909,1.04E-06
,106.4710979,16.57432417,0.33,661.0483278,1374.905822,0.71,-5.977411867,1.81319693,136.8319034,26.7780057,3.700329391,999.8438023,1072.202993,77.38594635,72.74476256,694.7576546,9.453784867,25.57428571,44.58333333,9.450187289,77.21149656,0.818469909,1.04E-06
,45.25182252,9.445552613,0.22,661.0483278,1374.905822,0.7,14.64450074,0.964369382,86.12996699,20.29121964,3.175114491,716.2239871,1069.601675,77.21621738,83.61788729,488.8182592,47.04467559,25.57428571,44.58333333,2.7,32.39,0.818469909,1.04E-06
,14.14,18.37782967,0.06,661.0483278,1374.905822,1,-5.977411867,3.348605917,83.65627398,26.7780057,2.254311858,964.3149903,990.6611752,77.06410558,57.69389325,508.5558115,9.453784867,25.57428571,44.58333333,5.350457297,170.613598,0.818469909,1.04E-06
,40.27,12.26015194,0.13,661.0483278,1374.905822,1.16,14.64450074,3.288513175,79.08281596,26.7780057,2.84338424,675.2559916,1129.86058,76.92467986,72.2545025,668.0128465,36.85689542,25.57428571,44.58333333,2.82,31.08,0.818469909,1.04E-06
,53.37,12.26015194,0.13,661.0483278,1374.905822,1.3,14.64450074,2.559198902,79.08281596,26.7780057,2.84338424,675.2559916,1129.86058,77.40913067,82.79340773,458.4972808,36.85689542,25.57428571,44.58333333,2.9,30.84,0.818469909,1.04E-06
,25.74,14.08180442,0.1,661.0483278,1374.905822,1.34,14.64450074,4.062428477,79.08281596,26.7780057,2.84338424,752.715606,1157.002845,77.22399411,55.28442102,1049.670843,47.04467559,25.57428571,44.58333333,2.8,32.23,0.818469909,1.04E-06
https://doi.org/10.1016/j.apsusc.2019.144515,80.59586445,8.7,0.239,661.0483278,1374.905822,0.720760043,32.66786029,1.791933136,79.08281596,30.15123385,2.44060892,714.6805358,1121.676921,77.04988805,93.74737823,584.6548538,47.04467559,25.57428571,44.58333333,4.8,151.5,0.818469909,1.04E-06
https://doi.org/10.1016/j.electacta.2021.138043,38.4,19.1,0.08,661.0483278,1374.905822,0.717584725,-5.977411867,1.825801591,82.84722701,28.87332519,2.27125719,485,278,57.3,68.63417376,1091.137343,9.453784867,25.57428571,44.58333333,9.946308161,140.9378315,0.818469909,1.04E-06
,80.35698444,17.9,0.257,661.0483278,1374.905822,0.713278017,-5.977411867,0.725498723,61.43556734,18.92503835,2.27125719,794,432,54.4,70.99835978,896.2516397,9.453784867,25.57428571,44.58333333,10.42367516,-37.10972205,0.818469909,1.04E-06
,127.2821271,18.3,0.475,661.0483278,1374.905822,0.708666911,-5.977411867,0.725498723,61.43556734,18.92503835,2.27125719,1033,544,52.7,71.01903049,903.6877811,9.453784867,25.57428571,44.58333333,11.0866247,-53.24636696,0.818469909,1.04E-06
,126.0884471,18.6,1.132,661.0483278,1374.905822,0.709042803,-4.175440287,0.725498723,48.41739569,18.92503835,2.27125719,1485,798,53.7,69.09075911,903.6877811,9.453784867,25.57428571,44.58333333,17.8703263,-29.22276634,0.818469909,1.04E-06
,126.0884471,20.1,2.112,661.0483278,1374.905822,0.722384139,-4.175440287,0.824497695,63.33564168,19.96424788,4.462648029,2044,1269,62.1,67.01107181,1341.060238,9.453784867,25.57428571,44.58333333,17.47602398,26.65764057,0.818469909,1.04E-06
https://doi.org/10.1016/j.jallcom.2020.153862,145.210598,3.5,0.752,661.0483278,1374.905822,0.736009333,46.67370025,0.3491,3.8,1.7,1.469134995,694.4298576,980.5008908,75.10949359,89.3110221,360.5470441,40.33919052,6.54,14.9,10.44329343,63.26,0.67,3.99E-13
,127.5086257,3.8,0.691,661.0483278,1374.905822,0.750328681,12.52063083,0.3452,8.41,2.85,2.203640566,667.8850396,1084.640948,75.20533309,93.14993282,229.1014905,34.54284491,5.62,9.48,7.240871388,33.58,1.27,1.79E-13
